class_name,runs,avg_time_ms,median_time_ms,min_time_ms,max_time_ms,stddev_ms,avg_heap_delta_mb,avg_gc_cycles,success_rate_pct
2 3 5 7 11 13 17 19 23 29 31 37 41 43 47 NumerosPrimos,100,23.62,23.00,22.00,27.00,0.89,4.91,0.00,100.0
AreaCuadrado,100,26.04,25.00,24.00,31.00,1.48,4.91,0.00,100.0
AreaEsfera,100,26.95,28.00,24.00,41.00,2.11,4.91,0.00,100.0
AreaRectangulo,100,25.68,26.00,22.00,39.00,2.59,4.91,0.00,100.0
AreaTriangulo,100,27.89,27.00,21.00,37.00,3.02,4.91,0.00,100.0
BuscarElemento,100,25.65,26.00,22.00,37.00,2.14,4.91,0.00,100.0
CaidaLibre,100,23.79,24.00,22.00,32.00,1.44,4.91,0.00,100.0
CalculoDescuento,100,23.48,21.00,21.00,33.00,1.58,4.91,0.00,100.0
CalculoEdad,100,26.59,28.00,24.00,31.00,1.35,4.91,0.00,100.0
CalculoIMC,100,23.45,24.00,21.00,32.00,1.49,4.91,0.00,100.0
CalculoIVA,100,26.76,26.00,24.00,34.00,1.56,4.91,0.00,100.0
CalculoPropina,100,23.33,24.00,21.00,30.00,1.35,4.91,0.00,100.0
CalculoSalario,100,26.76,24.00,24.00,35.00,1.65,4.91,0.00,100.0
CalculosCirculo,100,23.77,24.00,22.00,30.00,1.20,4.91,0.00,100.0
CalculoVelocidad,100,23.75,24.00,21.00,30.00,1.34,4.91,0.00,100.0
CoeficienteVariacion,100,27.13,26.00,24.00,39.00,1.92,4.91,0.00,100.0
ContarImpares,100,23.98,24.00,21.00,34.00,1.86,4.91,0.00,100.0
ContarPares,100,23.52,22.00,21.00,37.00,1.78,4.91,0.00,100.0
ConversionBinario,100,26.79,27.00,24.00,36.00,1.80,4.91,0.00,100.0
ConversionCelsiusFahrenheit,100,22.13,22.00,20.00,29.00,1.32,4.91,0.00,100.0
ConversionFahrenheitCelsius,100,22.03,22.00,20.00,26.00,1.00,4.91,0.00,100.0
ConversionHexadecimal,100,26.56,26.00,24.00,31.00,1.42,4.91,0.00,100.0
ConversionKgLibras,100,22.24,22.00,20.00,30.00,1.42,4.91,0.00,100.0
ConversionKmMillas,100,22.31,21.00,20.00,30.00,1.43,4.91,0.00,100.0
ConversionMetrosPies,100,21.86,22.00,20.00,28.00,1.26,4.91,0.00,100.0
ConversionOctal,100,26.47,25.00,24.00,40.00,1.77,4.91,0.00,100.0
Cuartiles,100,27.62,29.00,24.00,37.00,1.81,4.91,0.00,100.0
Densidad,100,23.63,24.00,22.00,27.00,0.92,4.91,0.00,100.0
DesviacionEstandar,100,23.67,28.00,21.00,31.00,1.79,4.91,0.00,100.0
DiagonalMatriz,100,20.22,22.00,18.00,26.00,1.25,4.91,0.00,100.0
DiasAAnios,100,27.26,30.00,25.00,37.00,1.89,4.91,0.00,100.0
DistanciaEuclidiana,100,29.35,28.00,25.00,52.00,4.35,4.91,0.00,100.0
DivisionNumeros,100,26.76,26.00,24.00,34.00,1.49,4.91,0.00,100.0
EnergiaKinetica,100,23.03,23.00,21.00,25.00,0.86,4.91,0.00,100.0
EnergiaPotencial,100,23.14,24.00,21.00,26.00,0.92,4.91,0.00,100.0
FactorialNumero,100,25.93,25.00,23.00,28.00,1.15,4.91,0.00,100.0
Fuerza,100,23.16,23.00,21.00,25.00,0.86,4.91,0.00,100.0
FuncionCoseno,100,26.26,26.00,24.00,29.00,1.17,4.91,0.00,100.0
FuncionSeno,100,26.35,26.00,24.00,28.00,0.98,4.91,0.00,100.0
FuncionTangente,100,26.35,27.00,24.00,32.00,1.23,4.91,0.00,100.0
Hipotenusa,100,26.26,27.00,24.00,28.00,1.03,4.91,0.00,100.0
InteresCompuesto,100,22.85,23.00,21.00,25.00,0.87,4.91,0.00,100.0
InteresSimple,100,22.75,24.00,21.00,26.00,0.89,4.91,0.00,100.0
InvertirArray,100,19.77,20.00,18.00,22.00,0.80,4.91,0.00,100.0
InvertirNumero,100,22.81,24.00,21.00,25.00,0.91,4.91,0.00,100.0
LeyOhm,100,23.13,23.00,21.00,25.00,0.90,4.91,0.00,100.0
MaximoArray,100,22.77,21.00,21.00,25.00,0.89,4.91,0.00,100.0
MCDEuclides,100,26.26,29.00,24.00,30.00,1.14,4.91,0.00,100.0
MCM,100,26.23,26.00,24.00,30.00,1.10,4.91,0.00,100.0
MediaArmonica,100,26.12,26.00,24.00,33.00,1.40,4.91,0.00,100.0
MediaGeometrica,100,26.17,27.00,24.00,29.00,1.07,4.91,0.00,100.0
Mediana,100,23.05,24.00,21.00,26.00,0.90,4.91,0.00,100.0
MediaPonderada,100,26.30,28.00,25.00,28.00,0.96,4.91,0.00,100.0
MinimoArray,100,22.83,23.00,21.00,25.00,0.85,4.91,0.00,100.0
Moda,100,22.89,21.00,21.00,26.00,0.85,4.91,0.00,100.0
MultiplicacionNumeros,100,26.12,28.00,23.00,28.00,1.04,4.91,0.00,100.0
MultiplicarArray,100,19.77,19.00,18.00,23.00,0.89,4.91,0.00,100.0
NumeroAleatorio,100,26.30,26.00,23.00,29.00,1.04,4.91,0.00,100.0
NumeroArmstrong,100,26.18,26.00,24.00,29.00,1.07,4.91,0.00,100.0
NumeroMayor,100,22.81,22.00,21.00,26.00,0.99,4.91,0.00,100.0
NumeroMenor,100,22.75,24.00,21.00,25.00,0.94,4.91,0.00,100.0
NumeroPalindromo,100,26.25,27.00,24.00,31.00,1.26,4.91,0.00,100.0
NumeroParImpar,100,23.14,22.00,22.00,25.00,0.79,4.91,0.00,100.0
NumeroPerfecto,100,24.90,24.00,23.00,32.00,1.09,4.91,0.00,100.0
NumeroPositivoNegativo,100,23.19,24.00,21.00,25.00,0.84,4.91,0.00,100.0
NumeroPrimo,100,24.77,27.00,22.00,27.00,0.97,4.91,0.00,100.0
OrdenarArray,100,19.87,19.00,18.00,22.00,0.82,4.91,0.00,100.0
PendienteRecta,100,26.55,27.00,24.00,32.00,1.31,4.91,0.00,100.0
Percentil,100,26.61,27.00,24.00,29.00,1.15,4.91,0.00,100.0
PerimetroCuadrado,100,26.31,27.00,24.00,28.00,1.01,4.91,0.00,100.0
PerimetroRectangulo,100,22.77,23.00,20.00,27.00,1.22,4.91,0.00,100.0
Porcentaje,100,25.30,26.00,23.00,28.00,0.95,4.91,0.00,100.0
Potencia,100,23.17,24.00,21.00,25.00,0.84,4.91,0.00,100.0
PotenciaRaiz,100,27.77,29.00,25.00,30.00,1.00,4.91,0.00,100.0
Presion,100,23.08,23.00,22.00,25.00,0.75,4.91,0.00,100.0
PromedioArray,100,26.22,26.00,24.00,28.00,1.07,4.91,0.00,100.0
PromedioNumeros,100,22.54,23.00,20.00,25.00,0.83,4.91,0.00,100.0
PuntoMedio,100,26.92,28.00,24.00,32.00,1.15,4.91,0.00,100.0
RangoEstadistico,100,26.48,25.00,24.00,29.00,1.06,4.91,0.00,100.0
RedondeoNumero,100,28.06,28.00,25.00,31.00,1.14,4.91,0.00,100.0
RestaNumeros,100,26.45,26.00,24.00,31.00,1.17,4.91,0.00,100.0
SegundosAHoras,100,26.58,26.00,24.00,33.00,1.35,4.91,0.00,100.0
Serie Fibonacci: 0 1 1 2 3 5 8 13 21 34SerieFibonacci,100,26.61,25.00,24.00,30.00,1.09,4.91,0.00,100.0
SumaArray,100,22.86,23.00,21.00,26.00,0.92,4.91,0.00,100.0
SumaDigitos,100,22.75,22.00,21.00,25.00,0.85,4.91,0.00,100.0
SumaImpares,100,24.43,24.00,22.00,27.00,1.05,4.91,0.00,100.0
SumaMatrices,100,23.39,24.00,21.00,26.00,0.92,4.91,0.00,100.0
SumaNumeros,100,26.04,25.00,23.00,30.00,1.15,4.91,0.00,100.0
SumaPares,100,24.35,26.00,22.00,28.00,1.10,4.91,0.00,100.0
SumaPrimeroN,100,24.34,24.00,22.00,27.00,0.90,4.91,0.00,100.0
TablasMultiplicar,100,29.41,29.00,26.00,32.00,0.99,4.91,0.00,100.0
Trabajo,100,23.14,23.00,20.00,26.00,0.97,4.91,0.00,100.0
TransponerMatriz,100,23.40,25.00,21.00,28.00,1.11,4.91,0.00,100.0
ValorAbsoluto,100,24.44,24.00,22.00,28.00,1.00,4.91,0.00,100.0
Varianza,100,26.28,27.00,23.00,28.00,1.01,4.91,0.00,100.0
VelocidadFinal,100,23.04,22.00,21.00,26.00,0.88,4.91,0.00,100.0
VolumenCilindro,100,26.11,26.00,24.00,29.00,1.09,4.91,0.00,100.0
VolumenCono,100,26.44,25.00,24.00,31.00,1.24,4.91,0.00,100.0
VolumenCubo,100,22.69,23.00,20.00,25.00,0.81,4.91,0.00,100.0
VolumenEsfera,100,26.15,25.00,24.00,29.00,1.10,4.91,0.00,100.0
